"outcome","gene","beta_step1","p_step1","beta_step2","p_step2","beta_total","mediation_effect","prop_mediated","sig_mediation","abs_prop"
"CAD","WIBG",2.05516850687633,0.000537671282651753,0.219073122079484,0.05248021154376,0.251845615703304,0.450232181200829,1.78773086814917,FALSE,1.78773086814917
"LungCancer","GS1-259H13.2",4.57144781410011,8.51985852602888e-05,0.180070154292463,0.056069737630392,0.460974451161024,0.823181313224948,1.78574172853107,FALSE,1.78574172853107
"CAD","CLU",-1.53615349190488,1.87033031528468e-06,-0.262161218540029,0.0764659739284045,0.251845615703304,0.402719871302303,1.59907437807749,FALSE,1.59907437807749
"COPD","ZNF655",3.08463121377224,8.09080807451389e-07,0.332898221237453,0.0297608086851245,0.658823081178385,1.02686824423831,1.55864035971786,TRUE,1.55864035971786
"CAD","NDUFAF2",3.75553572442237,6.68491398112798e-07,-0.103245407502587,0.146150213843344,0.251845615703304,-0.38774181625851,-1.53960121630747,FALSE,1.53960121630747
"LungCancer","SPPL3",-2.82875378782354,6.91658224557972e-06,0.250564985686806,0.360371312087837,0.460974451161024,-0.708786652357503,-1.53758337489709,FALSE,1.53758337489709
"COPD","GDF11",2.38383075922444,7.74128980505247e-05,-0.414656747092396,0.0449734561706141,0.658823081178385,-0.988471508238805,-1.50035956006703,TRUE,1.50035956006703
"CAD","EED",2.60009212443315,1.47654020601011e-05,0.143174889937156,0.557948809407007,0.251845615703304,0.372267903742184,1.47815915993847,FALSE,1.47815915993847
"COPD","ZNF207",2.72610955821818,0.000301590697014634,0.345483981458615,0.118821247242235,0.658823081178385,0.941827184065603,1.42956009127827,FALSE,1.42956009127827
"LungCancer","CADM2",1.64275331095328,7.35042850295152e-07,0.389421683545787,0.247724944870206,0.460974451161024,0.639723760001842,1.38776402551294,FALSE,1.38776402551294
"LungCancer","MCM6",-4.86216641030216,1.07268395393931e-07,0.130941128915384,0.77369602449535,0.460974451161024,-0.636657558739423,-1.38111246108308,FALSE,1.38111246108308
"CAD","KCNAB3",5.75806521510052,1.84400289938487e-07,0.060288598829442,0.279081100052262,0.251845615703304,0.34714568378696,1.37840669895134,FALSE,1.37840669895134
"CAD","ARPC1A",2.08610067599454,4.71824576074584e-05,0.165453339885356,0.342462433803933,0.251845615703304,0.345152324180395,1.37049169276393,FALSE,1.37049169276393
"CAD","RP11-320L11.2",3.98927907181119,0.000602315240110718,0.0861117109444541,0.0902051499511027,0.251845615703304,0.343523646308565,1.36402472343718,FALSE,1.36402472343718
"COPD","ARPC1A",2.08610067599454,4.71824576074584e-05,0.425042382074332,0.0554005528113559,0.658823081178385,0.886681200571593,1.34585630938378,FALSE,1.34585630938378
"CAD","SPPL3",-2.82875378782354,6.91658224557972e-06,-0.119386278305683,0.38963561299223,0.251845615703304,0.337714386971355,1.34095797549723,FALSE,1.34095797549723
"LungCancer","IKZF4",1.96937400619167,0.000358051341086927,0.306457573425062,0.166251626833285,0.460974451161024,0.60352957910389,1.3092473510925,FALSE,1.3092473510925
"COPD","FAM195A",1.8639489406268,0.000402592341290178,0.438038274018354,0.0436565409606286,0.658823081178385,0.816480976810503,1.23930232582339,TRUE,1.23930232582339
"CAD","PDAP1",1.83833484501673,0.000112554807939884,0.168285524199747,0.270406592255369,0.251845615703304,0.309365143048301,1.22839201383104,FALSE,1.22839201383104
"LungCancer","NAT6",5.08581595619988,2.01704729451588e-08,0.110297851429106,0.290804538291831,0.460974451161024,0.560954572732709,1.21688863953278,FALSE,1.21688863953278
"COPD","NDUFAF2",3.75553572442237,6.68491398112798e-07,0.211203380223772,0.0251891759006929,0.658823081178385,0.793181839549137,1.20393753984823,TRUE,1.20393753984823
"COPD","SPPL3",-2.82875378782354,6.91658224557972e-06,0.280214280660955,0.139485854687148,0.658823081178385,-0.792657207821925,-1.20314122329194,FALSE,1.20314122329194
"CAD","PTPRF",-1.49183466217097,1.59098825121899e-06,-0.200979214881705,0.159485321470601,0.251845615703304,0.299827759136435,1.19052205177023,FALSE,1.19052205177023
"LungCancer","GUCY2D",2.57254644207994,2.50733570295504e-05,0.209411696581895,0.388713471888355,0.460974451161024,0.538721314971678,1.16865764168673,FALSE,1.16865764168673
"CAD","ZNF655",3.08463121377224,8.09080807451389e-07,0.0952973832061393,0.433619862517008,0.251845615703304,0.293957282828472,1.16721223042763,FALSE,1.16721223042763
"COPD","CLU",-1.53615349190488,1.87033031528468e-06,-0.494473736035027,0.00533045802577103,0.658823081178385,0.759587556265457,1.15294618231475,TRUE,1.15294618231475
"LungCancer","RNF41",-2.02455079563652,0.000287513811301625,-0.26180374777524,0.327936287786317,0.460974451161024,0.530034985858984,1.14981423487576,FALSE,1.14981423487576
"LungCancer","ATP5J2",2.20624884987356,4.33127586633694e-05,-0.225350066004492,0.547158516281521,0.460974451161024,-0.497178323941342,-1.07853769919164,FALSE,1.07853769919164
"COPD","LA16c-313D11.12",-4.58453689531618,5.22670501573411e-06,-0.150681158799103,0.15574004563804,0.658823081178385,0.690803331943483,1.04854148507957,FALSE,1.04854148507957
