"exposure","outcome","exposure_label","outcome_label","n_snps","method","b","se","pval","or","or_lci","or_uci","fstat","steiger","het_q","het_p","egger_intercept","egger_p","presso_global_p","presso_outlier","note"
"Smoking_initiation","T2D","吸烟起始","2型糖尿病",78,"Weighted median",0.238092939697031,0.0644064687583532,0.000218399546457898,1.2688271117525,1.11835209820161,1.43954863777434,42.2,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"Smoking_initiation","T2D","吸烟起始","2型糖尿病",78,"Weighted mode",0.241104180051748,0.135811923314885,0.0798032766676379,1.27265361352142,0.975224878809984,1.66079358228176,42.2,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"Smoking_initiation","MDD","吸烟起始","抑郁症",7,"IVW",0.291304549100075,0.393671496279921,0.459319042561272,1.33817206099542,0.618602991014069,2.8947555877369,44,"correct",155.698785848187,8.16630602263722e-32,-0.0123650463251988,0.872801230905778,"<0.001",TRUE,"OK"
"Smoking_initiation","MDD","吸烟起始","抑郁症",7,"MR Egger",0.768723471843842,2.86595395676153,0.799239656956792,2.15701101029833,0.00783976606738493,593.473894317384,44,"correct",NA,NA,NA,NA,NA,NA,"OK"
"Smoking_initiation","MDD","吸烟起始","抑郁症",7,"Weighted median",0.739269014115673,0.135587249176062,4.97087529441814e-08,2.09440397505386,1.60563289463441,2.73196197298898,44,"correct",NA,NA,NA,NA,NA,NA,"OK"
"Smoking_initiation","MDD","吸烟起始","抑郁症",7,"Weighted mode",0.865470807076933,0.13166841911735,0.000594552753480459,2.37612451891256,1.83565378766477,3.07572580805664,44,"correct",NA,NA,NA,NA,NA,NA,"OK"
"Smoking_initiation","Alzheimer","吸烟起始","阿尔茨海默病",85,"IVW",-0.000211586883296361,0.00049786273935491,0.670843675117517,0.99978843549963,0.998813306825459,1.00076451617947,41.7,"reversed",108.45683793484,0.0318499739188127,1.81033864920687e-05,0.781424953209618,"0.04",TRUE,"OK"
"Smoking_initiation","Alzheimer","吸烟起始","阿尔茨海默病",85,"MR Egger",-0.00090189748816455,0.0025299070996044,0.722375065314116,0.999098509099132,0.994156623918908,1.00406496005556,41.7,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"Smoking_initiation","Alzheimer","吸烟起始","阿尔茨海默病",85,"Weighted median",-0.000936041793733096,0.00066202097654305,0.157386681667174,0.999064396156729,0.99776888972702,1.00036158467628,41.7,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"Smoking_initiation","Alzheimer","吸烟起始","阿尔茨海默病",85,"Weighted mode",-0.00152974474340692,0.00160771778179947,0.344080059007737,0.99847142471968,0.995330066610279,1.00162269725958,41.7,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"Alcohol_intake_freq","CAD","饮酒频率","冠心病",95,"IVW",0.0809975719293645,0.0800267455254716,0.311475290815817,1.08436826364082,0.926950744343907,1.26851889204068,53.3,"reversed",351.773968035427,9.82286191118329e-32,0.00732315883827741,0.064142470450472,"<0.001",TRUE,"OK"
"Alcohol_intake_freq","CAD","饮酒频率","冠心病",95,"MR Egger",-0.133175142171805,0.138947313111037,0.340317052887832,0.875311774677766,0.666635488888215,1.14930980372396,53.3,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"Alcohol_intake_freq","CAD","饮酒频率","冠心病",95,"Weighted median",-0.118753848987126,0.0639400809042622,0.063273072961324,0.888026362449832,0.783427772171833,1.00659033087343,53.3,"reversed",NA,NA,NA,NA,NA,NA,"OK"
